일자	계(명)	국내발생(명)	해외유입(명)	사망(명)
2022-01-12	4,383 	4,005 	378 	52 
2022-01-13	4,160 	3,775 	385 	44 
2022-01-14	4,537 	4,131 	406 	49 
2022-01-15	4,419 	4,074 	345 	22 
2022-01-16	4,186 	3,812 	374 	29 
2022-01-17	3,855 	3,550 	305 	23 
2022-01-18	4,068 	3,761 	307 	45 
2022-01-19	5,804 	5,430 	374 	74 
2022-01-20	6,600 	6,355 	245 	28 
2022-01-21	6,766 	6,479 	287 	21 
2022-01-22	7,002 	6,726 	276 	28 
2022-01-23	7,625 	7,341 	284 	11 
2022-01-24	7,510 	7,158 	352 	25 
2022-01-25	8,570 	8,355 	215 	23 
2022-01-26	13,004 	12,736 	268 	32 
2022-01-27	14,514 	14,297 	217 	34 
2022-01-28	16,090 	15,889 	201 	24 
2022-01-29	17,509 	17,320 	189 	34 
2022-01-30	17,522 	17,297 	225 	20 
2022-01-31	17,075 	16,844 	231 	23 
2022-02-01	18,333 	18,114 	219 	17 
2022-02-02	20,267 	20,109 	158 	15 
2022-02-03	22,903 	22,769 	134 	25 
2022-02-04	27,435 	27,278 	157 	24 
2022-02-05	36,334 	36,146 	188 	22 
2022-02-06	38,687 	38,498 	189 	15 
2022-02-07	35,279 	35,122 	157 	13 
2022-02-08	36,711 	36,611 	100 	36 
2022-02-09	49,540 	49,375 	165 	21 
2022-02-10	54,117 	54,029 	88 	20 
2022-02-11	53,913 	53,784 	129 	49 
2022-02-12	54,935 	54,823 	112 	33 
2022-02-13	56,408 	56,274 	134 	36 
2022-02-14	54,559 	54,453 	106 	21 
2022-02-15	57,165 	56,997 	168 	61 
2022-02-16	90,436 	90,273 	163 	39 
2022-02-17	93,120 	93,030 	90 	36 
2022-02-18	109,812 	109,696 	116 	45 
2022-02-19	102,198 	102,059 	139 	71 
2022-02-20	104,820 	104,723 	97 	51 
2022-02-21	95,353 	95,209 	144 	45 
2022-02-22	99,559 	99,429 	130 	58 
2022-02-23	171,443 	171,262 	181 	99 
2022-02-24	170,001 	169,832 	169 	82 
2022-02-25	165,881 	165,741 	140 	94 
2022-02-26	166,192 	166,051 	141 	112 
2022-02-27	163,555 	163,403 	152 	49 
2022-02-28	139,623 	139,463 	160 	114 
2022-03-01	138,982 	138,924 	58 	112 
2022-03-02	219,215 	219,148 	67 	96 
2022-03-03	198,795 	198,741 	54 	128 
2022-03-04	266,840 	266,758 	82 	186 
2022-03-05	254,317 	254,240 	77 	216 
2022-03-06	243,611 	243,523 	88 	161 
2022-03-07	210,699 	210,611 	88 	139 
2022-03-08	202,701 	202,627 	74 	186 
2022-03-09	342,423 	342,365 	58 	158 
2022-03-10	327,522 	327,464 	58 	206 
2022-03-11	282,967 	282,861 	106 	229 
2022-03-12	383,640 	383,565 	75 	269 
2022-03-13	350,156 	350,121 	35 	251 
2022-03-14	309,766 	309,704 	62 	200 
2022-03-15	362,262 	362,207 	55 	293 
2022-03-16	400,545 	400,469 	76 	164 
2022-03-17	621,165 	621,103 	62 	429 
2022-03-18	406,853 	406,814 	39 	301 
2022-03-19	381,375 	381,312 	63 	319 
2022-03-20	334,603 	334,579 	24 	327 
2022-03-21	209,118 	209,080 	38 	329 
2022-03-22	353,883 	353,837 	46 	384 
2022-03-23	490,767 	490,724 	43 	291 
2022-03-24	395,517 	395,450 	67 	469 
2022-03-25	339,458 	339,429 	29 	393 
2022-03-26	335,521 	335,472 	49 	323 
2022-03-27	318,063 	318,020 	43 	282 
2022-03-28	187,174 	187,146 	28 	287 
2022-03-29	347,472 	347,433 	39 	237 
2022-03-30	424,567 	424,535 	32 	432 
2022-03-31	320,686 	320,662 	24 	375 
2022-04-01	280,238 	280,187 	51 	360 
2022-04-02	264,144 	264,078 	66 	339 
2022-04-03	234,255 	234,231 	24 	306 
2022-04-04	127,162 	127,143 	19 	218 
2022-04-05	266,097 	266,062 	35 	209 
2022-04-06	286,260 	286,237 	23 	371 
2022-04-07	224,784 	224,744 	40 	348 
2022-04-08	205,310 	205,273 	37 	373 
2022-04-09	185,532 	185,487 	45 	338 
2022-04-10	164,455 	164,424 	31 	329 
2022-04-11	90,912 	90,887 	25 	258 
2022-04-12	210,723 	210,679 	44 	171 
2022-04-13	195,387 	195,349 	38 	184 
2022-04-14	148,423 	148,389 	34 	318 
2022-04-15	125,823 	125,809 	14 	264 
2022-04-16	107,894 	107,865 	29 	273 
2022-04-17	92,971 	92,952 	19 	203 
2022-04-18	47,729 	47,715 	14 	132 
2022-04-19	118,474 	118,454 	20 	130 
2022-04-20	111,291 	111,275 	16 	166 
2022-04-21	90,847 	90,816 	31 	147
2022-04-22	81,042 	81,026 	16 	206
2022-04-23	75,422 	75,393 	29 	151
2022-04-24	64,698 	64,665 	33 	109
2022-04-25	34,361 	34,330 	31 	110
2022-04-26	80,340 	80,319 	21 	82
2022-04-27	76,768 	76,728 	40 	141
2022-04-28	57,455 	57,429 	26 	122
2022-04-29	50,554 	50,523 	31 	136
2022-04-30	43,275 	43,257 	18 	70
2022-05-01	37,760 	37,723 	37 	81
2022-05-02	20,072 	20,045 	27 	83
2022-05-03	51,117 	51,072 	45 	49
2022-05-04	49,055 	49,020 	35 	72
2022-05-05	42,288 	42,261 	27 	79
2022-05-06	26,700 	26,672 	28 	48
2022-05-07	39,590 	39,564 	26 	83
2022-05-08	40,046 	40,030 	16 	71
2022-05-09	20,587 	20,569 	18 	40
2022-05-10	49,921 	49,898 	23 	62
2022-05-11	43,909 	43,873 	36 	29
2022-05-12	35,895 	35,883 	12 	63
2022-05-13	32,440 	32,426 	14 	52
2022-05-14	29,576 	29,551 	25 	55
2022-05-15	25,425 	25,400 	25 	48
2022-05-16	13,290 	13,264 	26 	35
2022-05-17	35,104 	35,078 	26 	27
2022-05-18	31,342 	31,307 	35 	31
2022-05-19	28,122 	28,108 	14 	40
2022-05-20	25,120 	25,098 	22 	43
2022-05-21	23,456 	23,445 	11 	26
2022-05-22	19,288 	19,264 	24 	54
2022-05-23	9,971 	9,954 	17 	22
2022-05-24	26,339 	26,296 	43 	19
2022-05-25	23,945 	23,924 	21 	23
2022-05-26	18,805 	18,772 	33 	34
2022-05-27	16,580 	16,531 	49 	40
2022-05-28	14,397 	14,352 	45 	36
2022-05-29	12,651 	12,625 	26 	19
2022-05-30	6,135 	6,089 	46 	9
2022-05-31	17,191 	17,148 	43 	9
2022-06-01	15,797 	15,753 	44 	21
